Ville,Titre,Lien,Description,Prix,Détails
nantes,Appartement - 3 pièce(s) - 1 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285759814A1KIVHAP000,"Situé dans un immeuble récent de 2011, cet appartement traversant de 3 pièces est parfait pour y vivre ou pour investir en colocation. au 2ème étage avec ascenseur, il bénéficie d'une luminosité exceptionnelle grâce à une grande baie vitrée qui...",212 000 €,"3 pièces, 2
chambres, Garage, Ascenseur, DPE :C119kWh/m².an22kg CO2/m².an"
nantes,Maison - 5 pièce(s) - 94 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286399816A1KIVHMN000,"Découvrez cette agréable maison de plain-pied idéalement située dans un quartier calme et recherché de nantes.  elle se compose d'un double salon-séjour lumineux avec placard, équipé d'un poêle à granulés et d'une climatisation réversible, d'une...",293 972 €3 127 € / m2,"5 pièces, 3
chambres, Terrain 294 m2, DPE :C178kWh/m².an5kg CO2/m².an"
nantes,Appartement - 1 pièce(s) - 18 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1285168576A1KIVHAP000,"A vendre - studio saint donatien - exclusivitÉ  situé dans le quartier recherché de saint donatien, dans une résidence des années 80, ce studio de 17.59 m², est vendu libre de toute occupation.  cet appartement fonctionnel, se compose d'une entrée...",94 830 €5 268 € / m2,"Studio - 1 pièce, DPE :E329kWh/m².an10kg CO2/m².an"
nantes,Appartement - 5 pièce(s) - 134 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286203606A1KIVHAP000,"Situé au dernier étage d'une résidence de 2007 avec ascenseur, cet appartement de 135 m² vous accueille en plein coeur de nantes, entre les quartiers bellamy, bel air et talensac.  vous serez séduits par sa belle luminosité, ses volumes généreux...",498 000 €3 716 € / m2,"5 pièces, 4
chambres, Garage, Ascenseur, Balcon, DPE :C114kWh/m².an21kg CO2/m².an"
montpellier,Appartement - 3 pièce(s) - 21 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286625653A1KIVHAP000,"Au calme et très bien exposé, découvrez notre charmant t2 de 21 m², entièrement rénové, situé au 2? étage d'un petit immeuble de six logements, à 30m de la place des beaux-arts à montpellier !
l'appartement se compose de :
- un séjour lumineux...",130 000 €*6 190 € / m2,"3 pièces, 1
chambre, DPE :D"
montpellier,Maison - 5 pièce(s) - 125 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286961849A1KIVHMN000,"Venez découvrir cette opportunité, au calme à proximité des écoles, commerces et ligne de tramway 1 (3 min) et 3 (5 min) ; cette maison d'une surface au sol de 125m² (dont 81,47m² loi carrez) est faite pour vous.   maison en r+2, exposée...",275 000 €2 200 € / m2,"5 pièces, 3
chambres, DPE :C156kWh/m².an4kg CO2/m².an"
montpellier,Appartement - 4 pièce(s) - 85 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286584114A1KIVHAP000,"Montpellier ? quartier grand m : agréable appartement traversant de 4 pièces ? 85 m²
situé au c?ur d'une résidence calme, sécurisée et parfaitement entretenue, cet appartement chaleureux de 85 m² offre un cadre de vie confortable et...",256 000 €*3 012 € / m2,"4 pièces, 3
chambres, Garage, Balcon, DPE :D"
montpellier,Maison - 6 pièce(s) - 115 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286544467A1KIVHMN000,"A montpellier, proche près d'arènes  - belle villa de 115 m ² sur un terrain de 350 m ²  - comprenant :  - rdc : séjour-salon, cuisine indépendante semi équipée, buanderie, toilette, chambre avec salle d'eau  - etage : quatre chambres, salle de...",504 000 €4 383 € / m2,"6 pièces, 5
chambres, Terrain 350 m2, DPE :A59kWh/m².an1kg CO2/m².an"
montpellier,Appartement - 1 pièce(s) - 21 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286895869A1KIVHAP000,"Montpellier ? quartier hôpitaux-facultés, dans la résidence la cardamome 2, au calme et à proximité immédiate des universités et des transports.
au 1er étage d'une petite résidence sécurisée de 3 étages (parking en rez-de-chaussée), ce studio...",110 000 €*5 238 € / m2,"Studio - 1 pièce, Garage, Balcon, DPE :E"
montpellier,Maison - 8 pièce(s) - 190 m²,https://www.paruvendu.fr/immobilier/vente/maison/1285808769A1KIVHMN000,Herault 34070 montpellier maison de 190m²  travaux à prévoir sur 1640 m² de terrain arboré piscinable  dpe : classe d-ges : d  prix de vente 439000 euros honoraires charge vendeur  montant estimé des dépenses annuelles d'énergie pour un usage...,399 000 €2 100 € / m2,"8 pièces, 4
chambres, Terrain 1 640 m2, DPE :A"
montpellier,Appartement - 2 pièce(s) - 49 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286865426A1KIVHAP000,"T2 traversant et lumineux ? résidence saint-georges ? quartier lemasson 34070 montpellier
atouts du bien :
?	emplacement idéal : proche du tram, des commerces, des écoles et des activités du quartier lemasson.
?	résidence calme et sécurisée :...",115 000 €*2 347 € / m2,"2 pièces, 1
chambre, Garage, Balcon, DPE :F"
montpellier,Propriété/château - 15 + pièce(s) - 430 m²,https://www.paruvendu.fr/immobilier/prestige/propriete-chateau/1284119710A1KIVHPR000,"Herault  (34725) à 30 minutes de montpellier (a75), à 20 minutes de clermont l'hérault dans un cadre bucolique au calme assuré et proche du lac du salagou, 10 minutes de toutes commodités.  magnifique propriété du xviii -ème siècle parfaitement...",2 980 000 €6 930 € / m2,"Exclusivité, 15 + pièces, 13
chambres, Terrain 11 000 m2, DPE :C130kWh/m².an4kg CO2/m².an"
montpellier,Appartement - 3 pièce(s) - 81 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286848962A1KIVHAP000,"Situé dans le quartier recherché des près d'arènes à montpellier, cet appartement lumineux de 80 m² dispose de :
? un grand séjour ouvert,
? 2 chambres confortables,
? une suite parentale avec dressing, pouvant facilement être transformée en...",199 990 €*2 469 € / m2,"3 pièces, 2
chambres, Garage, Ascenseur, Balcon, DPE :C"
montpellier,Maison - 6 pièce(s) - 110 m²,https://www.paruvendu.fr/immobilier/vente/maison/1283880959A1KIVHMN000,Herault 34070 montpellier maison de 110m² sur 600 m² de terrain arboré piscinable  cuisine ouverte sur belle pièce de vie  4 chambres dont une suite parentale avec terrasse  garage  quartier proche commerces et transports  dpe : classe c-ges : c...,544 000 €4 945 € / m2,"6 pièces, 4
chambres, Terrain 600 m2, DPE :C150kWh/m².an25kg CO2/m².an"
montpellier,Appartement - 3 pièce(s) - 60 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286548271A1KIVHAP000,"À vendre. rare t3 avec terrasse xxl dans un cadre verdoyant dans le prestigieux domaine de la feuillade, au coeur très prisé de port marianne à montpellier. situé au 1er et dernier étage d'une résidence haut de gamme signée hélénis, cet...",289 000 €*4 817 € / m2,"3 pièces, 2
chambres, Garage, Balcon, DPE :B"
montpellier,Maison - 6 pièce(s) - 202 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286352920A1KIVHMN000,"A 20 minutes de montpellier, dans un cadre de vie agréable, au cur d'un écrin de calme et de nature, cette villa contemporaine construite en 2022, d'une superficie de 202 m², s'élève sur un terrain de 730 m². sans vis-à-vis et baignée de lumière...",985 000 €4 876 € / m2,"6 pièces, 5
chambres, Terrain 730 m2, DPE :A48kWh/m².an1kg CO2/m².an"
montpellier,Appartement - 4 pièce(s) - 71 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286494354A1KIVHAP000,"Coup de cÅ""ur assuré pour cet agréable logement familial, traversant et lumineux avec vue dégagée, proximité immédiate de tous commerces, tramway, espaces verts et à  seulement 5 mins du centre historique de montpellier.
ce bien est vendu clef en...",199 000 €*2 803 € / m2,"4 pièces, Balcon"
montpellier,Maison - 5 pièce(s) - 87 m²,https://www.paruvendu.fr/immobilier/vente/maison/1285882384A1KIVHMN000,"En exclusivité, venez découvrir cette charmante maison lumineuse des années 60 de 87 m², bénéficiant d'une double exposition est-ouest,  située au cur du quartier très prisé de la chamberte, à montpellier.  un cadre de vie calme, verdoyant et...",332 800 €3 825 € / m2,"Exclusivité, 5 pièces, 4
chambres, Terrain 146 m2, DPE :D231kWh/m².an49kg CO2/m².an"
